Position (Î¼m),Cy5 Density
-188.98219299316406,737610928.0
-181.10793495178223,780092583.0
-173.2336769104004,824756240.0
-165.35941886901855,871314496.0
-157.48516082763672,912217893.0
-149.61090278625488,964431653.0
-141.73664474487305,1016700727.0
-133.8623867034912,1071469973.0
-125.98812866210938,1128629962.0
-118.11387062072754,1192086031.0
-110.2396125793457,1254953650.0
-102.36535453796387,1312056768.0
-94.49109649658203,1375824882.0
-86.6168384552002,1434577083.0
-78.74258041381836,1486933903.0
-70.86832237243652,1531898072.0
-62.99406433105469,1569417579.0
-55.11980628967285,1603471696.0
-47.245548248291016,1626909557.0
-39.37129020690918,1643652892.0
-31.497032165527344,1653839301.0
-23.622774124145508,1658693453.0
-15.748516082763672,1651796355.0
-7.874258041381836,1641442636.0
0.0,1633014597.0
7.874258041381836,1621332039.0
15.748516082763672,1615057583.0
23.622774124145508,1597208021.0
31.497032165527344,1576615702.0
39.37129020690918,1559011400.0
47.245548248291016,1531628601.0
55.11980628967285,1500186618.0
62.99406433105469,1464154788.0
70.86832237243652,1423067832.0
78.74258041381836,1376659036.0
86.6168384552002,1322623190.0
94.49109649658203,1267230918.0
102.36535453796387,1209031201.0
110.2396125793457,1148100528.0
118.11387062072754,1082152123.0
125.98812866210938,1018297565.0
133.8623867034912,962087490.0
141.73664474487305,904565046.0
149.61090278625488,853076366.0
157.48516082763672,813915945.0
165.35941886901855,770788559.0
173.2336769104004,730339185.0
181.10793495178223,692320985.0
188.98219299316406,654792132.0
